intent,web_ref,title,price,suburb,city,property_type,beds,baths,availability,deposit,lease_period,address,agent,phones,whatsapp_links,exclude_tags,url
rent,AP23995,2 Bedroom Apartment To Let in Menlo Park,"R21,500 pm",Menlo Park,Pretoria,Apartment,2,2,01 Apr 2026,"R21,500",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/apartment/3106706/
rent,AP19614,3 Bedroom Townhouse To Let in Menlo Park,"R38,000 pm",Menlo Park,Pretoria,Townhouse,3,2,01 May 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/townhouse/854261/
rent,AP20367,2 Bedroom Apartment To Let in Menlo Park,"R15,450 pm",Menlo Park,Pretoria,Apartment,2,2,01 Apr 2024,"R15,450",12 months,,Andre Sciocatti,082 930 7386; 012 348 0123,[082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/apartment/867021/
rent,AP23971,4 Bedroom House To Let in Waterkloof,"R48,000 pm",Waterkloof,Pretoria,House,4,4,Immediately,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/3088309/
rent,AP21744,9 Bedroom Freestanding To Let in Lynnwood Ridge,"R60,000 pm",Lynnwood Ridge,Pretoria,Freestanding,9,9.5,Immediately,"R80,000",12 months,,Este Moolman,083 268 0736; 012 348 0123,[083 268 0736](https://wa.me/27832680736),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/lynnwood-ridge/freestanding/1333176/
rent,AP23620,3 Bedroom House To Let in Waterkloof,"R32,000 pm",Waterkloof,Pretoria,House,3,2,Immediately,"R32,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/2931129/
rent,AP23962,4 Bedroom House To Let in Waterkloof,"R40,000 pm",Waterkloof,Pretoria,House,4,3,01 May 2026,"R40,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/3084413/
rent,AP24031,2 Bedroom Flat To Let in Monument Park,"R9,500 pm",Monument Park,Pretoria,Flat,2,1,Immediately,"R9,500",12 months,,Rina Verryne,083 269 0085; 012 348 0123,[083 269 0085](https://wa.me/27832690085),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/monument-park/flat/3124429/
rent,AP13388,2 Bedroom Apartment To Let in Hatfield,"R10,000 pm",Hatfield,Pretoria,Apartment,2,2,01 Jan 2026,"R10,000",12 months,,Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/844259/
rent,AP21804,2 Bedroom Townhouse Rented in Mooikloof Ridge,"R8,500 pm",Mooikloof Ridge,Pretoria,Townhouse,2,1,01 Jun 2026,"R9,000",12 months,,Liezl Janse Van Rensburg,084 851 0492; 012 348 0123,[084 851 0492](https://wa.me/27848510492),rented,https://www.appleproperty.co.za/results/residential/to-let/pretoria/mooikloof-ridge/townhouse/1357868/
rent,AP24056,2 Bedroom House To Let in Waterkloof,"R11,500 pm",Waterkloof,Pretoria,House,2,2,01 May 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/3138361/
rent,AP24140,2 Bedroom Apartment To Let in Waterkloof,"R13,000 pm",Waterkloof,Pretoria,Apartment,2,2,01 Jun 2026,,12 months,,Bronwyn Doeg,060 651 5373; 012 348 0123,[060 651 5373](https://wa.me/27606515373),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/apartment/3175855/
rent,AP20741,2 Bedroom Apartment To Let in Olympus AH,"R10,800 pm",Olympus Ah,Pretoria,Apartment,2,1,01 Jun 2025,"R10,800",12 months,,Liezl Janse Van Rensburg,084 851 0492; 012 348 0123,[084 851 0492](https://wa.me/27848510492),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/olympus-ah/apartment/988930/
rent,AP4480,2 Bedroom Apartment To Let in Hatfield,"R10,000 pm",Hatfield,Pretoria,Apartment,2,2,01 Jan 2026,"R10,000",12 months,,Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/844491/
rent,AP23987,3 Bedroom Townhouse To Let in Six Fountains Residential Estate,"R20,000 pm",Six Fountains Residential Estate,Pretoria,Townhouse,3,2,Immediately,"R20,000",24 months,,,072 440 1788; 012 348 0123,[072 440 1788](https://wa.me/27724401788),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/six-fountains-residential-estate/townhouse/3104106/
rent,AP23951,2 Bedroom House To Let in Monument Park,"R17,000 pm",Monument Park,Pretoria,House,2,2,01 Mar 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/monument-park/house/3081119/
rent,AP21209,2 Bedroom Apartment To Let in Hatfield,"R9,000 pm",Hatfield,Pretoria,Apartment,2,2,Immediately,"R10,000",12 months,,Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/1153590/
rent,AP23853,3 Bedroom Freehold To Let in Monument Park,"R35,000 pm",Monument Park,Pretoria,Freehold,3,3.5,Immediately,"R35,000",12 months,,Rina Verryne,083 269 0085; 012 348 0123,[083 269 0085](https://wa.me/27832690085),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/monument-park/freehold/3030626/
rent,AP24012,4 Bedroom Freestanding To Let in Monument Park,"R30,000 pm",Monument Park,Pretoria,Freestanding,4,3,01 May 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/monument-park/freestanding/3116957/
rent,AP23241,2 Bedroom Apartment To Let in Menlyn,"R45,000 pm",Menlyn,Pretoria,Apartment,2,2,Immediately,,12 months,,Andre Sciocatti,082 930 7386; 012 348 0123,[082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlyn/apartment/2608245/
rent,AP24145,4 Bedroom House To Let in Monument Park,"R25,000 pm",Monument Park,Pretoria,House,4,2.5,Immediately,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/monument-park/house/3177560/
rent,AP8911,2 Bedroom Apartment To Let in Hatfield,"R10,000 pm",Hatfield,Pretoria,Apartment,2,2,01 Jan 2026,"R10,000",12 months,,Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/844681/
rent,AP21778,3 Bedroom Townhouse To Let in Waterkloof Ridge,"R20,000 pm",Waterkloof Ridge,Pretoria,Townhouse,3,2.5,Immediately,"R21,000",12 months,,Rina Verryne,083 269 0085; 012 348 0123,[083 269 0085](https://wa.me/27832690085),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof-ridge/townhouse/1353718/
rent,AP23655,4 Bedroom House To Let in Waterkloof Ridge,"R28,000 pm",Waterkloof Ridge,Pretoria,House,4,3,01 Nov 2025,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof-ridge/house/2950103/
rent,AP21762,3 Bedroom Townhouse To Let in Menlo Park,"R34,000 pm",Menlo Park,Pretoria,Townhouse,3,2,Immediately,"R34,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/townhouse/1339974/
rent,AP24133,3 Bedroom House To Let in Waterkloof,"R20,000 pm",Waterkloof,Pretoria,House,3,2,Immediately,,12 months,,Bronwyn Doeg,060 651 5373; 012 348 0123,[060 651 5373](https://wa.me/27606515373),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/3170079/
rent,AP21733,2 Bedroom Flat To Let in Moreleta Park,"R7,800 pm",Moreleta Park,Pretoria,Flat,2,1,01 Jun 2026,"R7,800",12 months,,Liezl Janse Van Rensburg,084 851 0492; 012 348 0123,[084 851 0492](https://wa.me/27848510492),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/moreleta-park/flat/1330532/
rent,AP17033,2 Bedroom Apartment To Let in Menlyn,"R29,500 pm",Menlyn,Pretoria,Apartment,2,2,Immediately,,24 months,,Andre Sciocatti,082 930 7386; 012 348 0123,[082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlyn/apartment/844818/
rent,AP17556,3 Bedroom Apartment To Let in Fish Hoek,"R27,500 pm",Fish Hoek,Fish Hoek,Apartment,3,1,Immediately,"R44,000",12 months,,Lara Martin,083 399 9414; 012 348 0123,[083 399 9414](https://wa.me/27833999414),,https://www.appleproperty.co.za/results/residential/to-let/fish-hoek/fish-hoek/apartment/850161/
rent,AP10943,1 Bedroom Apartment To Let in Hatfield,"R8,000 pm",Hatfield,Pretoria,Apartment,1,1,Immediately,"R8,000",12 months,,Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/848570/
rent,AP23578,3 Bedroom Apartment Block To Let in Hazelwood,"R25,000 pm",Hazelwood,Pretoria,Apartment Block,3,3,01 Nov 2025,"R25,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hazelwood/apartment-block/2921562/
rent,AP23827,2 Bedroom Cluster To Let in Menlo Park,"R34,000 pm",Menlo Park,Pretoria,Cluster,2,2.5,01 Jun 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/cluster/3023909/
rent,AP14230,1 Bedroom Apartment To Let in Menlo Park,"R11,300 pm",Menlo Park,Pretoria,Apartment,1,1,01 May 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/apartment/857831/
rent,AP17545,1 Bedroom Garden Cottage To Let in Faerie Glen,"R7,500 pm",Faerie Glen,Pretoria,Garden Cottage,1,1,01 Apr 2026,"R7,500",Negotiable,"100 Vermont st, Faerie Glen, Pretoria",Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/faerie-glen/garden-cottage/846536/100-vermont-st/
rent,AP24143,1 Bedroom House To Let in Brooklyn,"R10,000 pm",Brooklyn,Pretoria,House,1,1,Immediately,"R10,000",12 months,,Bronwyn Doeg,060 651 5373; 012 348 0123,[060 651 5373](https://wa.me/27606515373),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/brooklyn/house/3177181/
rent,AP24093,4 Bedroom House To Let in Waterkloof,"R30,000 pm",Waterkloof,Pretoria,House,4,3,01 May 2026,"R30,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/3150995/
rent,AP23377,3 Bedroom Gated Estate To Let in Waterkloof Ridge,"R46,000 pm",Waterkloof Ridge,Pretoria,Gated Estate,3,3,01 Sep 2025,"R48,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof-ridge/gated-estate/2785559/
rent,AP24151,3 Bedroom Townhouse To Let in Lynnwood Ridge,"R14,990 pm",Lynnwood Ridge,Pretoria,Townhouse,3,2,01 Jun 2026,"R14,990",12 months,,Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/lynnwood-ridge/townhouse/3184275/
rent,AP24130,5 Bedroom House To Let in Groenkloof,"R75,000 pm",Groenkloof,Pretoria,House,5,4.5,Immediately,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/groenkloof/house/3168980/
rent,AP19810,1 Bedroom Flat To Let in Wapadrand,"R9,000 pm",Wapadrand,Pretoria,Flat,1,1,Immediately,,12 months,,Kriek Grundling,082 785 0914; 012 348 0123,[082 785 0914](https://wa.me/27827850914),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/wapadrand/flat/846398/
rent,AP23964,1 Bedroom Townhouse To Let in Brooklyn,"R12,500 pm",Brooklyn,Pretoria,Townhouse,1,1,Immediately,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/brooklyn/townhouse/3084727/
rent,AP18115,3 Bedroom Apartment To Let in Brooklyn,"R25,000 pm",Brooklyn,Pretoria,Apartment,3,2,Immediately,"R21,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/brooklyn/apartment/845955/
rent,AP24119,2 Bedroom Townhouse To Let in Lynnwood Ridge,"R12,490 pm",Lynnwood Ridge,Pretoria,Townhouse,2,2,01 Jun 2026,"R12,500",12 months,"Exciting new release in sought after security complex in Lynnwood Ridge, Pretoria East! Exclusive to Apple Property.",Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/lynnwood-ridge/townhouse/3166916/
rent,AP18005,2 Bedroom Apartment To Let in Hatfield,"R10,000 pm",Hatfield,Pretoria,Apartment,2,2,Immediately,"R10,000",12 months,"0210 Duncan Court, 1236 Park Street, Hatfield, Pretoria",Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/858222/0210-duncan-court-1236-park-street/
rent,AP23528,4 Bedroom House To Let in Waterkloof Ridge,"R75,000 pm",Waterkloof Ridge,Pretoria,House,4,3,01 Oct 2025,"R75,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof-ridge/house/2903501/
rent,AP17590,1 Bedroom Apartment To Let in Hatfield,"R8,250 pm",Hatfield,Pretoria,Apartment,1,1,01 Jan 2026,"R8,250",12 months,"7181 Duncan Court, 1226 Park Street, Hatfield, Pretoria",Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/858509/7181-duncan-court-1226-park-street/
rent,AP23893,4 Bedroom House To Let in Waterkloof Ridge,"R58,000 pm",Waterkloof Ridge,Pretoria,House,4,4,01 Apr 2026,"R58,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof-ridge/house/3047695/
rent,AP23467,3 Bedroom Apartment To Let in Baileys Muckleneuk,"R19,000 pm",Baileys Muckleneuk,Pretoria,Apartment,3,2,Immediately,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/baileys-muckleneuk/apartment/2841789/
rent,AP16668,1 Bedroom Studio Apartment To Let in Menlyn,"R14,500 pm",Menlyn,Pretoria,Studio Apartment,1,1,Immediately,,24 months,,Andre Sciocatti,082 930 7386; 012 348 0123; 082 551 7990,[082 930 7386](https://wa.me/27829307386); [082 551 7990](https://wa.me/27825517990),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlyn/studio-apartment/845630/
rent,AP21881,1 Bedroom Apartment To Let in Nieuw Muckleneuk,"R13,800 pm",Nieuw Muckleneuk,Pretoria,Apartment,1,1,01 Mar 2026,"R13,800",12 months,,Sandy Lunt,0823222322; 012 348 0123,[0823222322](https://wa.me/27823222322),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/nieuw-muckleneuk/apartment/1434501/
rent,AP22985,3 Bedroom Townhouse To Let in Menlo Park,"R33,000 pm",Menlo Park,Pretoria,Townhouse,3,2,01 Mar 2026,"R33,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/townhouse/2353820/
rent,AP23822,2 Bedroom Apartment To Let in Waterkloof,"R13,000 pm",Waterkloof,Pretoria,Apartment,2,2,01 Feb 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/apartment/3023430/
rent,AP17005,3 Bedroom House To Let in Waterkloof,"R34,000 pm",Waterkloof,Pretoria,House,3,2,Immediately,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/856357/
rent,AP24066,2 Bedroom House To Let in Waterkloof,"R40,000 pm",Waterkloof,Pretoria,House,2,2,01 Jul 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/3141935/
rent,AP23919,2 Bedroom Apartment To Let in Menlo Park,"R19,900 pm",Menlo Park,Pretoria,Apartment,2,2,Immediately,"R19,900",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlo-park/apartment/3071552/
rent,AP24088,3 Bedroom Townhouse To Let in Hazelwood,"R23,000 pm",Hazelwood,Pretoria,Townhouse,3,2,01 May 2026,"R23,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hazelwood/townhouse/3148715/
rent,AP22982,2 Bedroom House To Let in Waterkloof,"R40,000 pm",Waterkloof,Pretoria,House,2,2,01 Jul 2026,"R40,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/2349583/
buy,AP23619,3 Bedroom House For Sale in Equestria,"R1,450,000",Equestria,Pretoria,House,3,2,,,,,Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/equestria/house/2930755/
buy,AP22998,4 Bedroom House For Sale in Moreleta Park,"R3,995,000",Moreleta Park,Pretoria,House,4,3,,,,,Herman Van Rooy,082 494 1449; 012 348 0123,[082 494 1449](https://wa.me/27824941449),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/moreleta-park/house/2360934/
buy,AP23584,73Ha Farm For Sale in Hondsrivier AH,"R5,195,000",Hondsrivier Ah,Bronkhorstspruit,Farm,3,2.5,,,,"127 Old Bronkhorstspruit road, Hondsrivier AH, Bronkhorstspruit",Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/bronkhorstspruit/hondsrivier-ah/farm/2923716/127-old-bronkhorstspruit-road/
buy,AP23683,9.20Ha Vacant Land For Sale in Bela Bela Rural,"R650,000",Bela Bela Rural,Bela Bela,Vacant Land,,,,,,,Street View,062 568 0285; 065 851 0009,[062 568 0285](https://wa.me/27625680285); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela-rural/vacant-land/2962201/
buy,AP22346,29Ha Farm For Sale in Doornkraal,"R3,450,000",Doornkraal,Cullinan,Farm,3,2,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/cullinan/doornkraal/farm/1741474/
buy,AP24045,3 Bedroom Townhouse For Sale in Silverton,"R1,250,000",Silverton,Pretoria,Townhouse,3,2,,,,,Marianne Kenny,072 456 1802; 012 348 0123,[072 456 1802](https://wa.me/27724561802),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/silverton/townhouse/3133876/
buy,AP18984,11Ha Vacant Land For Sale in Zwavelpoort AH,"R11,000,000",Zwavelpoort Ah,Pretoria,Vacant Land,,,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/zwavelpoort-ah/vacant-land/851741/
buy,AP24026,347Ha Farm For Sale in Mookgopong,"R10,600,000",Mookgopong,Mookgopong,Farm,4,2,,,,"347 Ha Farm for Sale in Naboomspruit, Mookgopong",Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/farm/3120283/
buy,AP23282,930m2 Vacant Land For Sale in Silverwoods Country Estate,"R2,500,000",Silverwoods Country Estate,Pretoria,Vacant Land,,,,,,,,072 440 1788; 012 348 0123,[072 440 1788](https://wa.me/27724401788),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/silverwoods-country-estate/vacant-land/2718807/
